architecture,day,krs,length,surface
Glycine_max_Moraes2020_opt2,46,0.0179256122629475,6407.252620711019,1254.4284030529825
Glycine_max_Moraes2020_opt2,47,0.017930647032353097,6481.158214198729,1267.3089433725934
Glycine_max_Moraes2020_opt2,48,0.01825544992664595,6550.504732064709,1279.3982516480974
Glycine_max_Moraes2020_opt2,49,0.018850112495034266,6615.33424644359,1290.731428114575
Glycine_max_Moraes2020_opt2,50,0.019516346456318036,6679.490425540034,1301.835619431734
Glycine_max_Moraes2020_opt2,51,0.020214318291933788,6740.238948335513,1312.5150263364721
Glycine_max_Moraes2020_opt2,52,0.020877635322838622,6795.905199606363,1322.347813982899
Glycine_max_Moraes2020_opt2,53,0.021507220123762525,6850.296884628197,1331.8295069559495
Glycine_max_Moraes2020_opt2,54,0.022110841975949563,6901.301786738715,1340.784028685298
Glycine_max_Moraes2020_opt2,55,0.02267085282248093,6949.4455492157795,1349.1984390202088
Glycine_max_Moraes2020_opt2,56,0.023176209139827035,6993.537517984388,1356.929805741262
Glycine_max_Moraes2020_opt2,57,0.02363924361189807,7037.536954122404,1364.6026118080952
Glycine_max_Moraes2020_opt2,58,0.024073621122326416,7078.170703634523,1371.668742066296
Glycine_max_Moraes2020_opt2,59,0.02447054416340672,7115.723591450258,1378.2814783158353
Glycine_max_Moraes2020_opt2,60,0.024833933090499492,7152.6480434669775,1384.691594255931
Glycine_max_Moraes2020_opt2,61,0.025173604235806925,7186.7788256737385,1390.6645157826229
Glycine_max_Moraes2020_opt2,62,0.025462987573155193,7218.748569852516,1396.2720097283056
Glycine_max_Moraes2020_opt2,63,0.025683326471506968,7248.423243035024,1401.523560801716
Glycine_max_Moraes2020_opt2,64,0.02586087696468289,7276.369005953692,1406.4399756101707
Glycine_max_Moraes2020_opt2,65,0.026015903545053988,7303.705994556427,1411.2792942174465
Glycine_max_Moraes2020_opt2,66,0.02613811538678712,7328.229235682795,1415.5955515805454
Glycine_max_Moraes2020_opt2,67,0.02623432590663965,7353.168430911114,1420.0152036172722
Glycine_max_Moraes2020_opt2,68,0.026295456157566656,7376.458141429378,1424.1073329082308
Glycine_max_Moraes2020_opt2,69,0.026317427804286368,7397.573092380217,1427.8136740374048
Brassica_oleracea_Vansteenkiste_2014,0,0.00023344243149691686,3.3858741454397547,1.06370375540339
Brassica_oleracea_Vansteenkiste_2014,1,0.0005782500957698336,8.435670190905995,2.6501440029885472
Brassica_oleracea_Vansteenkiste_2014,2,0.001038396268394272,16.017586437180704,4.810039182899135
Brassica_oleracea_Vansteenkiste_2014,3,0.001627492633618192,27.988835452807383,7.662724115886907
Brassica_oleracea_Vansteenkiste_2014,4,0.002354379967267493,45.72175667021355,11.321797934991057
Brassica_oleracea_Vansteenkiste_2014,5,0.003205178483792104,69.59949101191087,15.788918277689826
Brassica_oleracea_Vansteenkiste_2014,6,0.004167489124359125,100.1452138887659,21.07969130861421
